Consumption_Country	Consumption_Industry	Total_Threatened_Animalia	Total_Threatened_Plantae	Aggregated_Threats	Production_Country	Production_Industry	Threatened_Animalia	Threatened_Plantae	Aggregated_Threats_Per_Tradepath
					Bulgaria	Fishing	2	0	0
					Argentina	Fishing	2	0	0
					Mauritania	Agriculture	1	0	0
					Belgium	Agriculture, hunting and related service activities	1	0	0
					Greece	Agriculture, hunting and related service activities	1	0	0
					Germany	Agriculture and hunting	1	0	0
					Togo	Agriculture	1	0	0
					Norway	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	1	0	0
					Spain	Agriculture, livestock and hunting	1	0	0
					Morocco	Agriculture	1	0	0
					Iceland	Agriculture	1	0	0
					Greenland	Coastal fisheries	1	0	0
Japan	Medical service (medical corporations, etc.)	958	18	21	Singapore	Other business & technical services	568	1	6.8
					Kuwait	Business services except machinery & equipment rental & leasing	196	2	5.5
					North Korea	Fishing	95	12	3
					Fiji	Fishing	96	1	1.6
					Ethiopia	Agriculture	116	2	1.5
					UAE	Mining and Quarrying	51	0	0.8
					Qatar	Mining and Quarrying	39	0	0.6
					Kuwait	Crude petroleum & Natural gas production	30	0	0.3
					Tanzania	Agriculture	18	1	0.3
					Brunei	Mining and Quarrying	8	0	0.1
					New Caledonia	Fishing	7	0	0.1
					Papua New Guinea	Agriculture	6	0	0.1
					Chile	Extractive Fishery	6	0	0.1
					Hong Kong	fisheries	4	0	0.1
					Brunei	Transport	5	0	0.1
					Madagascar	Agriculture	3	0	0
					Malawi	Agriculture	2	0	0
					New Zealand	Fishing	2	0	0
					New Zealand	Services to agriculture, hunting and trapping	2	0	0
					Sri Lanka	Agriculture	1	0	0
					Taiwan	Fishery Products	1	0	0
					South Korea	Fishery products	1	0	0
					Papua New Guinea	Fishing	1	0	0
					South Africa	Businessactivities	1	0	0
Guyana	Construction	316	37	20.8	Trinidad and Tobago	Transport	153	12	5.9
					Venezuela	Other Business Activities	158	19	2.4
					Venezuela	Agricultural activities and livestock services	108	8	2.1
					Barbados	Transport	72	3	2.1
					Trinidad and Tobago	Education, Health and Other Services	122	7	1.8
					Venezuela	Agricultural improvements	101	6	1.8
					Togo	Agriculture	67	2	1.3
					Trinidad and Tobago	Petroleum, Chemical and Non-Metallic Mineral Products	96	5	1.2
					Belize	Transport	69	3	0.9
					Trinidad and Tobago	Agriculture	32	4	0.6
					Barbados	Mining and Quarrying	14	2	0.3
					Trinidad and Tobago	Construction	9	4	0.2
					Fiji	Agriculture	3	0	0.1
					Trinidad and Tobago	Electricity, Gas and Water	2	0	0
					Barbados	Agriculture	4	0	0
					Jamaica	Transport	3	0	0
					Belize	Agriculture	3	0	0
China	Health services	819	24	20.8	Singapore	Other business & technical services	599	4	12.2
					Yemen	Mining and Quarrying	109	0	1.7
					South Korea	Crude petroleum and natural gas	76	10	1.6
					Kuwait	Business services except machinery & equipment rental & leasing	117	0	1.4
					Oman	Mining and Quarrying	53	0	0.8
					Gabon	Agriculture	52	0	0.8
					Laos	Agriculture	29	6	0.5
					North Korea	Agriculture	28	4	0.4
					Myanmar	Agriculture	22	0	0.3
					Kyrgyzstan	Fishery and fish breeding	19	0	0.3
					Mongolia	Agriculture	13	0	0.2
					Angola	Mining and Quarrying	8	0	0.1
					Israel	Photographic activities and other business activities n.e.c.	9	0	0.1
					North Korea	Mining and Quarrying	3	1	0.1
					Mongolia	Mining and Quarrying	2	1	0
					New Zealand	Services to agriculture, hunting and trapping	3	0	0
					Slovenia	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Congo	Mining and Quarrying	2	0	0
					Thailand	Silk Worm	2	0	0
					Ethiopia	Mining and Quarrying	2	0	0
					Tanzania	Mining and Quarrying	2	0	0
					Iceland	Agriculture	1	0	0
					Viet Nam	Cude oil, natural gas (except exploration)	1	0	0
					South Africa	Businessactivities	1	0	0
					Papua New Guinea	Agriculture	1	0	0
					Switzerland	Renting of machinery and equip-ment with-out operator and of personal and household goods, Other business activities	1	0	0
					Kyrgyzstan	Hunting and Forestry	1	0	0
					Cameroon	Agriculture	1	0	0
					Ethiopia	Agriculture	1	0	0
Thailand	Synthetic Resins and Plastics	512	30	20.6	Laos	Agriculture	487	29	19.4
					Myanmar	Agriculture	67	1	1.1
Denmark	Re-export & Re-import	262	63	20.4	Sweden	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	200	49	12.5
					Germany	Fishing	111	16	2.6
					Greenland	Accounting and business services	66	4	1.9
					Greenland	Coastal fisheries	47	8	1.3
					Greenland	Offshore fisheries	47	8	1.2
					Greenland	Land and pipeline transport	13	0	0.3
					Estonia	Forestry, logging and related service activities	16	0	0.2
					Netherlands	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	10	0	0.1
					Greenland	Agriculture and hunting	5	1	0.1
					Iceland	Agriculture	4	0	0.1
					Sweden	Forestry, logging and related service activities	2	0	0
					Norway	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	2	0	0
					Sweden	Agriculture, hunting and related service activities	1	0	0
					Latvia	Forestry, logging and related service activities	1	0	0
Thailand	Restaurant and Drinking Place	874	31	20.2	Laos	Agriculture	487	29	13.5
					Myanmar	Mining and Quarrying	353	1	5.7
					Cambodia	Fishing	36	1	0.6
					New Zealand	Fishing	15	0	0.2
					Myanmar	Fishing	8	0	0.1
					Seychelles	Agriculture	6	0	0.1
					Yemen	Mining and Quarrying	2	0	0
					Mauritania	Agriculture	1	0	0
					Myanmar	Agriculture	1	0	0
					Iceland	Agriculture	1	0	0
Thailand	Route & Non Route of Road Passenger Trans.	487	1	20.1	Myanmar	Mining and Quarrying	353	1	15.1
					Yemen	Mining and Quarrying	356	0	5
					UAE	Mining and Quarrying	2	0	0
South Korea	Public administration and defense	738	5	19.6	Singapore	Other business & technical services	563	1	5.8
					Kuwait	Business services except machinery & equipment rental & leasing	196	2	4.9
					Qatar	Mining and Quarrying	121	0	3.2
					Yemen	Mining and Quarrying	109	0	1.3
					Saudi Arabia	Mining and Quarrying	107	0	1.1
					Oman	Mining and Quarrying	63	0	1.1
					UAE	Mining and Quarrying	38	0	0.6
					Kuwait	Crude petroleum & Natural gas production	31	0	0.4
					Mongolia	Mining and Quarrying	22	2	0.3
					Brunei	Mining and Quarrying	10	0	0.1
					Brunei	Transport	8	0	0.1
					Congo	Mining and Quarrying	7	0	0.1
					Congo	Transport	5	0	0.1
					Iran	Agricultural & animal husbandry service activities	5	0	0.1
					Oman	Transport	4	0	0.1
					Ecuador	Other Business	5	0	0.1
					Qatar	Transport	3	0	0
					Indonesia	Crude petroleum and natural gas	2	0	0
					New Zealand	Services to agriculture, hunting and trapping	2	0	0
					Kuwait	Land transport	1	0	0
					Niger	Transport	1	0	0
					Ghana	Agriculture	1	0	0
					Malaysia	Crude petrol, natural gas &coal	1	0	0
Japan	Retail trade	756	3	19.4	Kuwait	Business services except machinery & equipment rental & leasing	269	2	10.7
					Singapore	Other business & technical services	572	1	7.4
					UAE	Mining and Quarrying	36	0	0.5
					Qatar	Mining and Quarrying	33	0	0.5
					South Africa	Businessactivities	14	0	0.2
					Brunei	Mining and Quarrying	8	0	0.1
					Greenland	Accounting and business services	2	0	0
					Kuwait	Crude petroleum & Natural gas production	1	0	0
					Brunei	Transport	1	0	0
					Chile	Business service activities	1	0	0
India	Medical and health	732	7	19.3	Singapore	Other business & technical services	599	4	11
					Israel	Photographic activities and other business activities n.e.c.	355	2	6.1
					South Africa	Businessactivities	137	2	2
					Nepal	Agriculture	6	0	0.1
					Kuwait	Business services except machinery & equipment rental & leasing	5	0	0.1
					Bangladesh	Agriculture	5	1	0.1
					Bhutan	Mining and Quarrying	1	0	0
USA	Other nonresidential structures	549	61	19.1	Bolivia	FORESTRY, HUNTING AND FISHING	105	21	3.4
					Trinidad and Tobago	Mining and Quarrying	100	5	3.2
					Venezuela	Crude oil and natural gas	73	4	2.5
					Saudi Arabia	Mining and Quarrying	107	0	1.4
					Canada	Mining and quarrying (energy)	36	19	1
					Liberia	Agriculture	63	0	0.9
					Trinidad and Tobago	Construction	72	6	0.9
					Canada	Agriculture, hunting, forestry and fishing	50	11	0.9
					Canada	Other Business Activities	41	4	0.7
					Iraq	Mining and Quarrying	39	0	0.6
					Oman	Mining and Quarrying	50	0	0.5
					Gabon	Mining and Quarrying	20	0	0.4
					Nigeria	Mining and Quarrying	24	0	0.4
					Ecuador	Other Business	32	0	0.4
					Mexico	Petroleum & gas extraction	27	0	0.4
					Bahamas	Mining and Quarrying	15	2	0.3
					Kuwait	Crude petroleum & Natural gas production	29	0	0.3
					Mexico	Forest planning	20	0	0.3
					Algeria	Mining and Quarrying	10	0	0.1
					Angola	Mining and Quarrying	8	0	0.1
					Chile	Forestry	5	0	0.1
					Namibia	Mining and Quarrying	6	0	0.1
					Morocco	Mining and Quarrying	4	0	0.1
					DR Congo	Mining and Quarrying	3	0	0
					Kuwait	Business services except machinery & equipment rental & leasing	3	0	0
					Singapore	Other business & technical services	3	0	0
					Aruba	Mining and Quarrying	2	0	0
					Trinidad and Tobago	Electricity, Gas and Water	2	0	0
					Indonesia	Forestry	1	0	0
					South Africa	Businessactivities	1	0	0
					Madagascar	Mining and Quarrying	1	0	0
Angola	Hotels and Restraurants	246	24	19	Namibia	Fishing	134	13	15.5
					Namibia	Agriculture	160	11	3.5
					Namibia	Mining and Quarrying	6	0	0.1
UK	Processing and preserving of fish and fish products	747	98	18.8	Seychelles	Fishing	649	69	12
					Ireland	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	119	28	3.3
					Iceland	Fishing	54	9	2.9
					Maldives	Fishing	24	0	0.3
					France	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	15	1	0.2
					Denmark	Fishing	10	0	0.1
					Ireland	Agriculture, hunting and related service activities	3	0	0.1
					Germany	Fishing	2	0	0
					Senegal	Fishing	1	0	0
					Hong Kong	fisheries	1	0	0
India	Other transport services	809	10	18.5	Singapore	Other business & technical services	572	1	7.3
					Israel	Photographic activities and other business activities n.e.c.	329	1	4.1
					Jordan	Mining and Quarrying	107	0	1.6
					South Africa	Businessactivities	119	1	1.3
					Nepal	Agriculture	48	1	0.8
					Bahrain	Mining and Quarrying	42	0	0.6
					Bhutan	Transport	42	0	0.5
					Afghanistan	Agriculture	40	1	0.5
					Vanuatu	Transport	34	2	0.4
					Belgium	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	20	2	0.3
					Nepal	Mining and Quarrying	18	1	0.2
					Bhutan	Mining and Quarrying	12	1	0.2
					Nepal	Transport	12	0	0.2
					Bangladesh	Agriculture	6	1	0.1
					Bahrain	Transport	3	0	0
					Kuwait	Business services except machinery & equipment rental & leasing	3	0	0
					Bhutan	Agriculture	3	0	0
					Kenya	Quarrying and Mining	3	0	0
					Yemen	Petroleum, Chemical and Non-Metallic Mineral Products	2	0	0
					Bahrain	Petroleum, Chemical and Non-Metallic Mineral Products	1	0	0
					Sri Lanka	Agriculture	1	0	0
					Kuwait	Crude petroleum & Natural gas production	1	0	0
					Myanmar	Agriculture	1	0	0
Malaysia	Transport	663	6	18.4	Singapore	Other business & technical services	660	6	18.3
					Israel	Photographic activities and other business activities n.e.c.	5	0	0.1
					Singapore	Other freight transport	1	0	0
Italy	Retailtrade services, except of motor vehicles and motorcycles, repair services of personal and household goods	524	109	18.4	Croatia	Fishing	225	70	6.3
					Tunisia	Fishing	150	34	2.5
					Hungary	Forestry, logging and related service activities	89	9	1.9
					Egypt	Mining and Quarrying	96	0	1.1
					Denmark	Fishing	49	2	0.7
					Cameroon	Mining and Quarrying	23	0	0.4
					Azerbaijan	Mining and Quarrying	23	4	0.4
					Libya	Mining and Quarrying	30	0	0.4
					Senegal	Fishing	27	7	0.4
					Sweden	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	32	0	0.4
					Albania	Agriculture	16	0	0.3
					Slovenia	Forestry, logging and related service activities	20	0	0.3
					Austria	Forestry, logging and related service activities	22	1	0.2
					Cameroon	Agriculture	12	1	0.2
					Tunisia	Agriculture	12	0	0.2
					France	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	15	1	0.2
					Senegal	Agriculture	11	0	0.2
					Bosnia and Herzegovina	Agriculture	11	0	0.2
					Croatia	Agriculture	11	1	0.2
					South Africa	Businessactivities	14	0	0.2
					Libya	Transport	11	0	0.2
					Liberia	Agriculture	10	0	0.1
					Netherlands	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	10	0	0.1
					Luxembourg	Agriculture	7	0	0.1
					Greece	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	9	0	0.1
					Morocco	Agriculture	7	0	0.1
					Hungary	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	7	1	0.1
					Cote dIvoire	Agriculture	6	0	0.1
					Mauritania	Agriculture	5	0	0.1
					Togo	Agriculture	5	1	0.1
					Bulgaria	Agriculture	5	0	0.1
					Seychelles	Agriculture	6	0	0.1
					Germany	Fishing	4	1	0.1
					Israel	Photographic activities and other business activities n.e.c.	5	0	0.1
					Papua New Guinea	Fishing	5	0	0.1
					Syria	Mining and Quarrying	3	1	0
					Netherlands	Agriculture, hunting and related service activities	3	0	0
					Romania	Forestry, logging and related service activities	2	1	0
					Kuwait	Business services except machinery & equipment rental & leasing	3	0	0
					Belgium	Agriculture, hunting and related service activities	2	0	0
					Ethiopia	Agriculture	2	0	0
					Congo	Agriculture	2	0	0
					Iraq	Mining and Quarrying	2	0	0
					Austria	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	2	0	0
					Libya	Agriculture	1	0	0
					Austria	Agriculture, hunting and related service activities	1	0	0
					Egypt	Agriculture	1	0	0
					Syria	Agriculture	1	0	0
					France	Agriculture, hunting and related service activities	1	0	0
					Belarus	Agriculture	1	0	0
					Georgia	Real estate, renting and business activities	1	0	0
					Spain	Agriculture, livestock and hunting	1	0	0
					Denmark	Agriculture	1	0	0
					Ghana	Agriculture	1	0	0
					Greece	Agriculture, hunting and related service activities	1	0	0
					Germany	Agriculture and hunting	1	0	0
					Madagascar	Agriculture	1	0	0
Singapore	Seafood preparations	801	18	18.3	Malaysia	Fish etc.	675	8	10.2
					Cambodia	Fishing	479	6	6.1
					Hong Kong	fisheries	77	6	1.8
					Bangladesh	Fishing	7	0	0.1
					Sri Lanka	Fishing	4	0	0.1
					Indonesia	Fishery	1	1	0
					New Zealand	Fishing	2	0	0
					Myanmar	Fishing	1	0	0
					Seychelles	Fishing	1	0	0
Indonesia	Building construction	679	5	18.2	Singapore	Other business & technical services	599	4	13.7
					Kuwait	Business services except machinery & equipment rental & leasing	196	2	4.4
					Vanuatu	Transport	3	0	0
					Kuwait	Land transport	1	0	0
					Singapore	Other manufacturing	1	0	0
					Malaysia	Crude petrol, natural gas &coal	1	0	0
					Singapore	Other freight transport	1	0	0
Singapore	Wholesale & retail trades	592	34	18	Kuwait	Business services except machinery & equipment rental & leasing	269	2	8.5
					Malaysia	Transport	263	28	4.3
					Malta	Forestry, logging and related service activities	41	1	1.2
					Malta	Land transport, transport via pipelines	24	0	0.8
					China	Pipeline transport	35	0	0.6
					Qatar	Transport	38	2	0.5
					Australia	Pipeline transport	15	0	0.4
					Kuwait	Land transport	21	0	0.4
					Brunei	Transport	23	1	0.3
					Japan	Agricultural services (except veterinary service)	18	0	0.2
					Philippines	Transportation	17	1	0.2
					Malta	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	16	1	0.2
					Israel	Photographic activities and other business activities n.e.c.	13	1	0.2
					Malta	Supporting and auxiliary transport activities, activities of travel agencies	14	0	0.1
					Indonesia	Transportation	5	0	0.1
					Saudi Arabia	Transport	3	0	0
					USA	Pipeline transportation	1	0	0
Germany	Basic construction	539	91	17.8	Ethiopia	Construction	152	30	5.4
					Czech Republic	Forestry, logging and related service activities	79	8	2
					Madagascar	Mining and Quarrying	112	0	1.3
					Liberia	Construction	75	20	1.2
					Hungary	Construction	52	14	1.1
					Czech Republic	Construction	44	19	0.9
					Belarus	Construction	40	10	0.7
					Namibia	Mining and Quarrying	26	1	0.7
					Slovenia	Construction	32	4	0.5
					Israel	Construction for water supply and for electricity distribution 	22	5	0.4
					Luxembourg	Mining and Quarrying	18	2	0.3
					Slovakia	Forestry, logging and related service activities	21	1	0.3
					Portugal	Forestry, logging and related service activities	21	0	0.3
					Hungary	Forestry, logging and related service activities	20	1	0.3
					Poland	Forestry, logging and related service activities	19	1	0.3
					Romania	Forestry, logging and related service activities	21	1	0.3
					Latvia	Forestry, logging and related service activities	17	0	0.2
					Slovenia	Forestry, logging and related service activities	20	0	0.2
					Lithuania	Forestry, logging and related service activities	14	1	0.2
					Austria	Other mining and quarrying	5	1	0.1
					Austria	Construction	8	0	0.1
					Hungary	Other mining and quarrying	4	1	0.1
					Thailand	Other Constructions	8	0	0.1
					Belgium	Construction	7	0	0.1
					Netherlands	Other mining and quarrying	2	1	0.1
					Syria	Mining and Quarrying	4	1	0.1
					Israel	Photographic activities and other business activities n.e.c.	5	0	0.1
					Netherlands	Construction	5	0	0.1
					Slovakia	Construction	5	0	0.1
					Poland	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					France	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Czech Republic	Land transport, transport via pipelines	4	0	0
					Singapore	Other business & technical services	3	0	0
					Libya	Mining and Quarrying	3	0	0
					Kyrgyzstan	Other construction	3	0	0
					Norway	Other mining and quarrying	2	1	0
					Estonia	Other mining and quarrying	1	1	0
					Liberia	Agriculture	2	0	0
					Azerbaijan	Mining and Quarrying	2	0	0
					Cameroon	Agriculture	2	0	0
					Congo	Agriculture	2	0	0
					Ireland	Construction	2	0	0
					Austria	Forestry, logging and related service activities	1	1	0
					Belgium	Forestry, logging and related service activities	1	0	0
					Estonia	Forestry, logging and related service activities	1	0	0
					South Africa	Businessactivities	1	0	0
					Bosnia and Herzegovina	Agriculture	1	0	0
China	Real estate	685	9	17.2	Singapore	Other business & technical services	660	6	15.6
					Kuwait	Business services except machinery & equipment rental & leasing	111	0	1.3
					South Korea	Crude petroleum and natural gas	12	1	0.2
					Israel	Photographic activities and other business activities n.e.c.	5	0	0.1
					Gabon	Agriculture	4	0	0.1
					Laos	Agriculture	0	2	0
					Chile	Business service activities	1	0	0
Thailand	Road Freight Transport	406	1	17.2	Myanmar	Mining and Quarrying	353	1	14.5
					Yemen	Mining and Quarrying	125	0	2.6
					UAE	Mining and Quarrying	2	0	0
Canada	Construction	677	286	17	USA	Fishing 	247	273	7.4
					Mexico	Services related to agriculture and forestry	274	7	5.2
					USA	Support activities for agriculture and forestry	143	3	1.9
					Liberia	Agriculture	63	0	1
					Bolivia	FORESTRY, HUNTING AND FISHING	31	3	0.5
					Portugal	Forestry, logging and related service activities	21	0	0.3
					Israel	Photographic activities and other business activities n.e.c.	13	1	0.2
					Trinidad and Tobago	Fishing	15	0	0.2
					Singapore	Other business & technical services	12	0	0.1
					Madagascar	Agriculture	3	0	0
					Chile	Forestry	2	0	0
					UK	Hunting, trapping and game propagation, including related service activities	2	0	0
					USA	Hunting and trapping 	1	0	0
Spain	Hotel services	440	167	16.8	Morocco	Fishing	221	50	7.2
					Portugal	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	285	138	6.1
					Andorra	Fishing	46	6	0.8
					Andorra	Agriculture	39	4	0.7
					Namibia	Fishing	47	4	0.7
					Mauritania	Fishing	29	3	0.5
					Ireland	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	30	3	0.5
					France	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	15	1	0.2
					Denmark	Fishing	10	0	0.1
					Mauritania	Agriculture	5	0	0.1
					Tunisia	Fishing	2	0	0
					Morocco	Agriculture	1	0	0
					UK	Fishing 	1	0	0
Mexico	Manufacture of textile inputs	524	20	16.8	USA	Hunting and trapping 	506	20	8.5
					USA	Support activities for agriculture and forestry	505	20	8.1
					Japan	Agricultural services (except veterinary service)	18	0	0.2
China	Motor vehicles	744	15	16.6	Singapore	Other business & technical services	578	2	9.3
					Yemen	Mining and Quarrying	109	0	1.6
					South Korea	Crude petroleum and natural gas	76	10	1.6
					New Caledonia	Mining and Quarrying	133	0	1.4
					Oman	Mining and Quarrying	53	0	0.8
					North Korea	Mining and Quarrying	31	3	0.7
					Mongolia	Mining and Quarrying	26	2	0.5
					Ethiopia	Mining and Quarrying	21	0	0.3
					Gabon	Agriculture	8	0	0.1
					Angola	Mining and Quarrying	5	0	0.1
					Congo	Mining and Quarrying	6	0	0.1
					Kuwait	Business services except machinery & equipment rental & leasing	5	0	0.1
					Laos	Agriculture	2	2	0.1
					South Africa	Other mining	4	0	0.1
					Brazil	Iron ore	2	0	0
					South Africa	Businessactivities	2	0	0
					Kyrgyzstan	Fishery and fish breeding	1	0	0
					Viet Nam	Cude oil, natural gas (except exploration)	1	0	0
					Mongolia	Transport	1	0	0
					Israel	Photographic activities and other business activities n.e.c.	1	0	0
Turkey	Textiles	302	29	16.4	Bulgaria	Agriculture	194	25	6.2
					Turkmenistan	Agriculture	113	4	6.1
					Syria	Agriculture	90	1	2.6
					Albania	Agriculture	47	4	0.8
					Azerbaijan	Agriculture	16	0	0.3
					Cyprus	Agriculture	13	0	0.2
					Ghana	Agriculture	6	1	0.1
					Kazakhstan	Agriculture	3	1	0
					Cote dIvoire	Agriculture	2	0	0
					Egypt	Agriculture	1	0	0
					TFYR Macedonia	Agriculture, hunting and related service activities	1	0	0
					Uzbekistan	Agricultural Service	0	1	0
					Tunisia	Agriculture	1	0	0
					Sri Lanka	Agriculture	1	0	0
					Moldova	Agriculture	1	0	0
USA	Offices of physicians, dentists, and other health practitioners 	741	5	16.2	Singapore	Other business & technical services	578	2	8.8
					Israel	Photographic activities and other business activities n.e.c.	331	1	4.5
					Kuwait	Business services except machinery & equipment rental & leasing	119	0	1.5
					Fiji	Fishing	24	1	0.3
					Canada	Other Business Activities	13	0	0.2
					Trinidad and Tobago	Mining and Quarrying	10	0	0.2
					Trinidad and Tobago	Fishing	15	0	0.2
					Switzerland	Renting of machinery and equip-ment with-out operator and of personal and household goods, Other business activities	11	1	0.1
					Venezuela	Crude oil and natural gas	9	0	0.1
					Mauritius	Other business activities 	10	0	0.1
					Ecuador	Other Business	7	0	0.1
					Costa Rica	Fishing	3	0	0
					Panama	Fishing	3	0	0
					Canada	Mining and quarrying (energy)	2	0	0
					UK	Hunting, trapping and game propagation, including related service activities	2	0	0
					Liberia	Agriculture	2	0	0
					South Africa	Businessactivities	2	0	0
Singapore	Other construction	601	1	15.9	Malaysia	Stone, clay & sand quarrying	601	1	15.9
Germany	Furniture, jewellery, musical instruments, sporting equipment, toys and other manufacturing	176	17	15.8	Czech Republic	Forestry, logging and related service activities	79	8	4.1
					Portugal	Forestry, logging and related service activities	91	11	1.7
					Romania	Forestry, logging and related service activities	95	10	1.5
					Poland	Forestry, logging and related service activities	84	10	1.5
					Slovakia	Forestry, logging and related service activities	85	7	1.5
					Hungary	Forestry, logging and related service activities	89	9	1.3
					Slovenia	Forestry, logging and related service activities	92	4	1.2
					Latvia	Forestry, logging and related service activities	60	6	1
					Lithuania	Forestry, logging and related service activities	51	7	0.9
					Austria	Forestry, logging and related service activities	22	1	0.3
					Estonia	Forestry, logging and related service activities	16	0	0.3
					Belgium	Forestry, logging and related service activities	19	0	0.2
					Bosnia and Herzegovina	Agriculture	7	0	0.1
					Ukraine	Forestry	2	1	0
					Liberia	Agriculture	2	0	0
					Cameroon	Agriculture	2	0	0
					Finland	Forestry, logging and related service activities	2	0	0
					Congo	Agriculture	2	0	0
					France	Forestry, logging and related service activities	1	1	0
					Czech Republic	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	2	0	0
					Sweden	Forestry, logging and related service activities	2	0	0
					Italy	Forestry, logging and related service activities	1	1	0
					Belarus	Agriculture	1	0	0
					Denmark	Fishing	1	0	0
					Denmark	Forestry	1	0	0
Brazil	Beverages	499	109	15.8	Argentina	Agricultural services	471	101	13.9
					Argentina	Cereals, oilseeds and forage	70	19	1.1
					Paraguay	AGRICULTURE	36	9	0.5
					Bolivia	SERVICES TO BUSINESSES	15	4	0.2
					Paraguay	BUSINESS SERVICES	3	1	0
Jordan	Hotels and Restraurants	544	5	15.6	Yemen	Fishing	455	4	14.4
					Fiji	Fishing	96	1	1.2
					Gaza Strip	Agriculture	4	0	0
					Syria	Agriculture	1	0	0
					Lebanon	Agriculture	1	0	0
Japan	Electric power for enterprise use	527	5	15.5	Viet Nam	Coal	417	3	6.4
					Qatar	Mining and Quarrying	121	0	2.7
					UAE	Mining and Quarrying	135	0	2.7
					Kuwait	Crude petroleum & Natural gas production	120	0	1.8
					Saudi Arabia	Mining and Quarrying	107	0	1.1
					Brunei	Mining and Quarrying	19	0	0.4
					Brunei	Construction	6	1	0.1
					Brunei	Transport	5	0	0.1
					Brunei	Agriculture	5	0	0.1
					Russia	Mining and quarrying (energy)	4	0	0.1
					North Korea	Mining and Quarrying	3	1	0.1
					Indonesia	Crude petroleum and natural gas	2	0	0
					Indonesia	Other metallic ore	3	0	0
					Kuwait	Business services except machinery & equipment rental & leasing	2	0	0
					Malaysia	Crude petrol, natural gas &coal	1	0	0
					Australia	Black coal	1	0	0
USA	Owner-occupied dwellings	471	76	15.4	Bolivia	FORESTRY, HUNTING AND FISHING	109	22	5.8
					Canada	Agriculture, hunting, forestry and fishing	113	36	2.7
					Trinidad and Tobago	Mining and Quarrying	61	1	1.4
					Venezuela	Crude oil and natural gas	71	4	1.3
					Liberia	Agriculture	63	0	0.9
					Canada	Other Business Activities	33	4	0.5
					Chile	Forestry	27	2	0.5
					Canada	Mining and quarrying (energy)	22	12	0.4
					Mexico	Forest planning	20	0	0.4
					Fiji	Fishing	24	1	0.3
					Trinidad and Tobago	Fishing	15	0	0.2
					Taiwan	Forestry	12	0	0.1
					Singapore	Other business & technical services	12	0	0.1
					Indonesia	Forestry	11	0	0.1
					Bahamas	Mining and Quarrying	10	0	0.1
					Gabon	Mining and Quarrying	7	0	0.1
					Ecuador	Other Business	7	0	0.1
					Nigeria	Mining and Quarrying	6	0	0.1
					Panama	Fishing	6	0	0.1
					Costa Rica	Fishing	3	0	0
					Kuwait	Business services except machinery & equipment rental & leasing	3	0	0
					Laos	Agriculture	0	2	0
					Chile	Business service activities	2	0	0
					Iraq	Mining and Quarrying	2	0	0
					Algeria	Mining and Quarrying	2	0	0
					Philippines	Forestry	1	0	0
					Mexico	Services related to agriculture and forestry	1	0	0
					Israel	Photographic activities and other business activities n.e.c.	1	0	0
					Angola	Mining and Quarrying	1	0	0
Germany	Public administration and defence	720	6	15.4	Singapore	Other business & technical services	578	2	9.6
					Israel	Photographic activities and other business activities n.e.c.	319	1	3.5
					Slovenia	Air transport	41	2	0.6
					Czech Republic	Air transport	21	2	0.3
					South Africa	Businessactivities	22	1	0.3
					Hungary	Air transport	19	2	0.3
					Slovakia	Air transport	19	2	0.3
					Liberia	Transport Equipment	10	1	0.1
					Mauritius	Other business activities 	10	0	0.1
					France	Extraction of crude petroleum and natural gas, service activities incidental to oil and gas extraction excluding surveying	3	0	0
					Switzerland	Renting of machinery and equip-ment with-out operator and of personal and household goods, Other business activities	2	0	0
					Kuwait	Business services except machinery & equipment rental & leasing	2	0	0
					UK	Hunting, trapping and game propagation, including related service activities	2	0	0
					Denmark	Agricultural services, landscape gardeners etc.	2	0	0
					Czech Republic	Forestry, logging and related service activities	1	1	0
					Sweden	Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing	1	0	0
					Iceland	Agriculture	1	0	0
					Netherlands	Agriculture, hunting and related service activities	1	0	0
